,bedrooms,bathrooms,level,garage,age,elevation,neighborhood[Ahwatukee Foothills 0]:sqft,neighborhood[Alahambra]:sqft,neighborhood[Alegre Community]:sqft,neighborhood[Alta Mira]:sqft,neighborhood[Baseline-Hardy]:sqft,neighborhood[Bell De Mar Crossing]:sqft,neighborhood[Camelback East]:sqft,neighborhood[Central]:sqft,neighborhood[Central City]:sqft,neighborhood[Cyprus Southwest]:sqft,neighborhood[Dava-Lakeshore]:sqft,neighborhood[Deer Valley]:sqft,neighborhood[Desert View]:sqft,neighborhood[Encanto]:sqft,neighborhood[Escalante]:sqft,neighborhood[Estrella]:sqft,neighborhood[Evergreen]:sqft,neighborhood[Gililland]:sqft,neighborhood[Holdeman]:sqft,neighborhood[Hughes Acres]:sqft,neighborhood[Kiwanis Park]:sqft,neighborhood[Kyrene-Superstition]:sqft,neighborhood[Laveen]:sqft,neighborhood[Lindon Park]:sqft,neighborhood[Mach 8]:sqft,neighborhood[Maple-Ash]:sqft,neighborhood[Maryvale]:sqft,neighborhood[McClintock]:sqft,neighborhood[Meyer Park]:sqft,neighborhood[Mitchell Park West]:sqft,neighborhood[New Village]:sqft,neighborhood[North Gateway]:sqft,neighborhood[North Mountain]:sqft,neighborhood[North Scottsdale]:sqft,neighborhood[Northeast 0]:sqft,neighborhood[Northeast 3]:sqft,neighborhood[Northeast 4]:sqft,neighborhood[Northwest]:sqft,neighborhood[Ntna-College]:sqft,neighborhood[Ntna-Indian Bend]:sqft,neighborhood[Ntna-West Rio]:sqft,neighborhood[Optimist Park Ne]:sqft,neighborhood[Optimist Park Sw]:sqft,neighborhood[Paradise Valley]:sqft,neighborhood[Pepperwood]:sqft,neighborhood[Pinnacle Peak]:sqft,neighborhood[Riverside]:sqft,neighborhood[Rural-Geneva]:sqft,neighborhood[Shalimar]:sqft,neighborhood[South Mountain]:sqft,neighborhood[South Scottsdale]:sqft,neighborhood[Southeast 0]:sqft,neighborhood[Southwest]:sqft,neighborhood[Sunburst Farms]:sqft,neighborhood[Sunset]:sqft,neighborhood[Tempe Gardens]:sqft,neighborhood[Tempe Royal Estates]:sqft,neighborhood[West Central]:sqft
neighborhood[Maple-Ash]:sqft,-0.213226776234,-0.699289108706,-0.00211475848185,-0.309309962346,-0.0303115694734,0.00293021504442,0.0010767402143,0.00141182987388,0.00293283617586,0.000941021890365,0.00154597583517,0.00109816738459,0.00130183872644,0.00123336993678,0.00127116950758,0.00132542369164,0.00146756004706,0.00106146013398,0.000743852079462,0.00142055883863,0.00143706349819,0.00124982325093,0.00129961867306,0.00109314285183,0.00156266237992,0.00147911787816,0.00132812992138,0.00189896954305,0.00104755088396,0.00170859830956,0.00173644203328,0.046504642268,0.00140974345669,0.000738919293828,0.00157422226126,0.00154897702079,0.000668545370237,0.00084422646456,0.00118486023699,0.000846753593821,0.00104231996377,0.00141378276039,0.00105459185111,0.00126588593591,0.00140989351754,0.000881409422216,0.00112923895052,0.00118788424963,0.000791889918663,0.00102914334474,0.0014444579028,0.000422213942957,0.00135060165782,0.00162922922347,0.000721779600429,0.00120827797158,0.00120314144086,0.00103133781759,0.00130713436289,0.00128454776001,0.00150177692216,0.00120042981681,0.00123899806472,0.00136995794356
neighborhood[Maryvale]:sqft,-0.531345022262,-0.395560381096,-0.00354357045318,-0.252919030283,-0.00267140781218,0.00079059813321,0.00126613518969,0.00140902583712,0.00260395943399,0.00114264718656,0.00151538800299,0.00118043757196,0.00131106064632,0.00143046680759,0.00123890064634,0.00152816141885,0.00163251095605,0.00129987107236,0.00112190699009,0.00135655087383,0.00138578988208,0.00140128051311,0.00131911574104,0.00129776855912,0.00176579207871,0.0015106451951,0.00137944873237,0.00192607110416,0.00127450689244,0.00149921864148,0.00174429926849,0.00140974345669,0.00243078596208,0.000993274416127,0.00167305207101,0.00128202474755,0.00106128107487,0.00124895210554,0.00130265379819,0.0010727223361,0.00134585028217,0.00145812170018,0.00198988607458,0.00136908407913,0.00153348254104,0.00129334753201,0.00135528521244,0.00136764148335,0.00106437463957,0.00127090279407,0.00145452299064,0.000893442440303,0.00109473039205,0.00182570941596,0.000971502945905,0.0013965149984,0.00125844867537,0.00128112755932,0.00138191850168,0.00135795054282,0.00148917346651,0.00128669893085,0.00151165977751,0.00147871697065
neighborhood[McClintock]:sqft,-0.43472927186,0.103118868867,0.00394142382443,-0.0427591484286,0.00142463336126,-0.00101870135756,0.000811054968661,0.000917055719441,0.00174721875688,0.000728625204005,0.000925209013174,0.000758596147098,0.000852642478362,0.000998745686012,0.000835250050907,0.00101396096328,0.00101262030801,0.000898600173129,0.000833580008201,0.000897267080845,0.00115693074521,0.000845388882721,0.000842628498605,0.000846924770176,0.00115613839807,0.00096674211207,0.000880638791592,0.0011351424521,0.000790195127926,0.000918086484614,0.00108063471284,0.000738919293828,0.000993274416127,0.0630104498264,0.000980292962157,0.00102596855012,0.000816787477188,0.000915950186154,0.000886769691989,0.000741576611589,0.000938994291819,0.0010112433121,0.001547618117,0.000922888652925,0.000997103750999,0.000869187041063,0.00115573278763,0.000977869615057,0.000896976976337,0.000888539014845,0.000909188131395,0.000777287091252,0.000674468473298,0.00155064396276,0.000819441180062,0.000915661725374,0.000839101166232,0.000885490684149,0.000908471561908,0.000758277749068,0.000965316461608,0.000824513873798,0.00103102226855,0.0010354437193
neighborhood[Meyer Park]:sqft,-0.500827792381,-0.667876282164,-0.00278465282063,-0.057915787522,-0.000304071970687,0.00112321278869,0.00141566010722,0.00152639581701,0.00283502768925,0.00115555281048,0.00174388684331,0.00131445948936,0.00144554939709,0.00155894758745,0.00137554083912,0.00167054526636,0.00173814970375,0.00142231388394,0.00123825934761,0.00147319707537,0.00137494670793,0.00156643576482,0.00146083472395,0.00144382984238,0.00193736240466,0.00166492501112,0.00153204385482,0.00196584508077,0.00140884864725,0.00164283379413,0.0019775760503,0.00157422226126,0.00167305207101,0.000980292962157,0.0410985031168,0.00125892797852,0.00118322422196,0.00137556897277,0.00141940292609,0.00119987395211,0.00148605694892,0.00157348111473,0.00222882973482,0.00149148500343,0.00170573829099,0.00147047003604,0.00137280264647,0.00145002766996,0.0010504753089,0.00139222656139,0.00164927323237,0.000986585510722,0.00128093249485,0.00183710474001,0.00095866788914,0.00152555614054,0.00139064331486,0.00141481574602,0.00152492891919,0.00157143572923,0.00168983113279,0.00143316230435,0.00163158486248,0.00160256271625
neighborhood[Mitchell Park West]:sqft,-0.316075557551,-0.0127256707526,0.0104550194598,-0.22429830736,-0.0193312727564,-0.000639378002439,0.000996861847683,0.00130443758134,0.00283411021018,0.000897410806297,0.00135994321652,0.00100510709587,0.00121861780107,0.00128283897332,0.0012623511218,0.00125442273059,0.00134670271244,0.00111503429679,0.000947812197847,0.00134101267699,0.00180951777567,0.001040199158,0.00117401083304,0.00102339360932,0.00144921639072,0.00133207542665,0.00120039183707,0.00167043992791,0.000911606088323,0.00144827874341,0.00153266266512,0.00154897702079,0.00128202474755,0.00102596855012,0.00125892797852,0.100928614332,0.000918925196853,0.00105213584602,0.00118538259032,0.000915224875661,0.0011349668718,0.0015014993845,0.00157781023073,0.00126065097733,0.0013157097564,0.000907530752192,0.00158525990531,0.00125188009827,0.00109936085609,0.00110639844893,0.00129435321963,0.000872770727972,0.00124664170929,0.00221433851464,0.0010040669486,0.0011498446278,0.00117493326911,0.00109477055087,0.0012472765095,0.000956420584477,0.00144333882048,0.00109354794136,0.00121805060681,0.00143290047535
neighborhood[New Village]:sqft,-0.302217396296,-0.18009368759,0.0163204963549,0.108918338364,0.0147365635716,-0.00255067807866,0.000997219829786,0.000977984648838,0.0019578884852,0.000733126597155,0.00122589350838,0.00088942697559,0.000988968184129,0.00116416666488,0.00103357337007,0.00111769709785,0.00116321973071,0.00109644126858,0.00114109629471,0.000972641139748,0.00116203890953,0.000976565917551,0.00095472450534,0.00100138127365,0.00127706764864,0.00106796079938,0.00101126999667,0.00118237870159,0.000914053644613,0.000926512294547,0.00134128397344,0.000668545370237,0.00106128107487,0.000816787477188,0.00118322422196,0.000918925196853,0.0106269670953,0.00125269148806,0.00102441680371,0.000994371747014,0.00120971137596,0.00125970269541,0.0022341487168,0.00108293132366,0.0011793972184,0.00117062914094,0.00128977107786,0.00102692559777,0.000875148474685,0.00110209890281,0.00114120147737,0.00122928899664,0.000995435521154,0.00168192723215,0.000800173711939,0.00105260747573,0.00100787816528,0.00112427259539,0.00107296972093,0.000930075702725,0.00127596412817,0.000964607760696,0.00110045547663,0.00121068906844
neighborhood[North Gateway]:sqft,-0.361944252381,-0.243006625731,0.0140149875861,-0.0791030375134,0.013760381622,-0.00227812042281,0.00114217682177,0.0011423074256,0.00224072793184,0.000920474618982,0.0013918471545,0.00102005755962,0.00113679935032,0.00131593251921,0.00116453464798,0.00128713155186,0.00140405297816,0.00124116424007,0.00125755246515,0.00112440648154,0.00129823615034,0.00114639597361,0.0011021558211,0.00114399837536,0.00147399028866,0.00123776958261,0.0011651010714,0.00152247217968,0.00107227223069,0.00110111733566,0.00153456227992,0.00084422646456,0.00124895210554,0.000915950186154,0.00137556897277,0.00105213584602,0.00125269148806,0.0055556251968,0.00116873808018,0.00110973678561,0.00135721992538,0.00143451958487,0.00241649332385,0.00124006055742,0.00134768741247,0.00130570952197,0.00141705480295,0.0011743638077,0.000981415826474,0.00124161561267,0.00130111163096,0.001307982975,0.00110973462253,0.00185538013785,0.000897084889388,0.00121771080048,0.00114580135362,0.00126469215489,0.00122797370852,0.00108902474597,0.00143625090052,0.00110728481538,0.00126731483909,0.00137140771058
neighborhood[North Mountain]:sqft,-0.390817316368,-0.308700461954,0.00470330436619,-0.0991714421268,-0.000181045237558,-0.0003419038076,0.00110274324446,0.00121447526496,0.00236308168675,0.000924598766263,0.00136940881218,0.00102891598865,0.0011581629549,0.00127384839926,0.00114302236085,0.00130719103047,0.00138267704533,0.00116095982424,0.00105495296322,0.00119335463477,0.00131225884013,0.00117480255587,0.0011462847085,0.00112276944956,0.00150815205765,0.00130172873015,0.00119839083756,0.0015778348816,0.00106608434678,0.00127586094197,0.00154447965015,0.00118486023699,0.00130265379819,0.000886769691989,0.00141940292609,0.00118538259032,0.00102441680371,0.00116873808018,0.00207832936136,0.000987616591223,0.00122202350679,0.00135095305004,0.0019164674222,0.00121713571294,0.00134449547772,0.00115331360574,0.00129886354249,0.00118948302138,0.000950211434223,0.00114649219413,0.00129703134256,0.000948558354576,0.00107108540654,0.00174575704928,0.00086775472037,0.00120428534399,0.00112918177882,0.00115835782871,0.00122278141794,0.00113678666813,0.00137857524973,0.00111993710195,0.0012826794005,0.00133601178168
neighborhood[North Scottsdale]:sqft,-0.286927054306,-0.287261188024,-0.000119812696591,-0.0304434899373,0.00742686384246,-0.00125557102785,0.00096465151597,0.000992277328403,0.00195720052934,0.00075961919361,0.00120204186938,0.00087510100463,0.000978837032696,0.00110318179245,0.000995059032094,0.00109616570153,0.00117710191253,0.00102838262167,0.00100412062354,0.000979748918364,0.00108475873736,0.000988552206839,0.000956075677312,0.000968249491083,0.00126115832013,0.00107568820727,0.00100680324514,0.00128541192304,0.000908721145506,0.000996770969925,0.00132770181601,0.000846753593821,0.0010727223361,0.000741576611589,0.00119987395211,0.000915224875661,0.000994371747014,0.00110973678561,0.000987616591223,0.00152139281093,0.00111188955547,0.00119504189699,0.00189831080472,0.00105031954395,0.00115085090894,0.00106905920349,0.0011461910384,0.000989924813723,0.000794598762993,0.00102624610026,0.00112186336924,0.000998796697297,0.000965614853051,0.00151332662852,0.000726065591893,0.00102856998368,0.000978785529927,0.00104304363709,0.00104712175918,0.000958081153506,0.00125168116441,0.000951017511269,0.00107057038717,0.00115968674516
neighborhood[Northeast 0]:sqft,-0.400807982311,-0.315301868816,0.00955771292494,-0.078007056787,0.00864734559416,-0.00136701622058,0.0011916799414,0.00123532049596,0.00239263795756,0.000971856035945,0.00145792117958,0.00108226756161,0.00120559059411,0.00136488333656,0.00120848678431,0.00137141762062,0.00146979385782,0.00126999477083,0.00122797608037,0.00121081708506,0.00133848649354,0.00123354077067,0.00118346511806,0.00120268014704,0.00157635085209,0.00133653319474,0.00124610292746,0.00162265005915,0.00113835431862,0.00123992019554,0.00162519109848,0.00104231996377,0.00134585028217,0.000938994291819,0.00148605694892,0.0011349668718,0.00120971137596,0.00135721992538,0.00122202350679,0.00111188955547,0.0029488766009,0.00145734759697,0.00231225663507,0.00129216263521,0.00142188210381,0.00131573317306,0.00141036944841,0.0012410049659,0.00100613903245,0.00126230927226,0.00137090314041,0.0011970509761,0.00113872208593,0.00186322058018,0.000919264282331,0.00128058446332,0.00119638602344,0.00128265542147,0.00129045861435,0.00118744686872,0.00148057589458,0.00117644453062,0.00134859833805,0.00142031970611
neighborhood[Northeast 3]:sqft,-0.30011858794,-0.360646628888,0.0145869745053,-0.354596638558,-0.0014927917547,-0.00147110558832,0.00126132621643,0.00140176070697,0.00291072327172,0.00109160428079,0.0016565880855,0.00117687082931,0.00136869017049,0.00147845501723,0.00141376215031,0.00144479392422,0.00167257936082,0.00136471292152,0.00128859771469,0.00140815499546,0.00166471241502,0.00129586678825,0.00131731807826,0.00125468517382,0.00166868939152,0.00147909591422,0.00137205699141,0.00199302552123,0.00117318414147,0.00146464811259,0.0018187696782,0.00141378276039,0.00145812170018,0.0010112433121,0.00157348111473,0.0015014993845,0.00125970269541,0.00143451958487,0.00135095305004,0.00119504189699,0.00145734759697,0.0270043387842,0.00232050222994,0.00144987918054,0.00154605447853,0.00130585974187,0.00162501138274,0.00134177381788,0.00108355440545,0.00136072134863,0.001539191313,0.00128289873758,0.00144121620594,0.00219556484391,0.000989994776621,0.00137546209268,0.00134802919424,0.00137735227501,0.00143921071392,0.00123996110379,0.00171296120637,0.00127930391651,0.00139100119043,0.00160436917086
neighborhood[Northeast 4]:sqft,-0.62983344712,-0.30683448699,0.0274255754853,0.269879668659,0.0353973020878,-0.00516622430906,0.00189673509234,0.00179680520521,0.00350412241726,0.00138463291617,0.00226711036783,0.00166642932319,0.0018253102467,0.00219568208044,0.00189553101559,0.00211589357068,0.00217600031111,0.00208361030976,0.00220432012156,0.00176970437639,0.00208428590515,0.00185129716791,0.00176795150626,0.00190760390422,0.00241153890375,0.001979160051,0.00188231160868,0.00215054989373,0.00175231230843,0.00164984300561,0.00248765422319,0.00105459185111,0.00198988607458,0.001547618117,0.00222882973482,0.00157781023073,0.0022341487168,0.00241649332385,0.0019164674222,0.00189831080472,0.00231225663507,0.00232050222994,0.199437572917,0.00202010961721,0.00221266646511,0.00228303927421,0.00240414435979,0.00192990900924,0.00165818729713,0.00209503484004,0.00211672868244,0.00238649251417,0.00177509561881,0.00310331560266,0.00151627323506,0.00199060776319,0.00187356338058,0.00214035043987,0.00199856618408,0.00175704551275,0.00236184819135,0.00180668677183,0.00209911217896,0.0022541452685
